percentile,window,gen,index,fitness_test_mse
40,64,0,0,0.003514476855665628
45,96,0,1,0.002042269042195631
80,4,0,2,0.0141184847456361
45,40,0,3,0.002925513132964655
85,28,0,4,0.003531258008196281
35,4,0,5,0.012947979754229141
20,20,0,6,0.003951681909096878
45,76,0,7,0.002922537370379943
70,60,0,8,0.0035058104484830656
40,92,0,9,0.001994320727116311
40,92,1,0,0.001994320727116311
50,76,1,1,0.003431504201449761
45,60,1,2,0.003235314468504677
45,64,1,3,0.004181812986997265
70,92,1,4,0.002457275267264637
40,76,1,5,0.003251321416023316
45,20,1,6,0.003972455502489906
45,28,1,7,0.0032731369160076853
70,96,1,8,0.002180585975300832
45,92,1,9,0.0019635655589860857
45,92,2,0,0.0019635655589860857
45,44,2,1,0.0025424823182817052
45,80,2,2,0.0033402538924816147
45,84,2,3,0.003320325557662849
80,92,2,4,0.002402152346213162
30,92,2,5,0.002125287862022029
40,48,2,6,0.004504062182723449
40,8,2,7,0.0022176469846909327
65,76,2,8,0.003727191005799864
70,48,2,9,0.003291667947834401
45,92,3,0,0.0019635655589860857
80,88,3,1,0.0024992373597673635
50,92,3,2,0.0025797911754058627
80,76,3,3,0.0029171153991017127
85,92,3,4,0.0028688162438369573
40,44,3,5,0.004077907568201994
45,8,3,6,0.004213719737789768
80,12,3,7,0.002429780413541642
95,76,3,8,0.003040782263234116
60,92,3,9,0.0021719668054953037
45,92,4,0,0.0019635655589860857
45,12,4,1,0.0027018348280331947
70,12,4,2,0.003108912988826451
45,88,4,3,0.0030372090658659714
60,8,4,4,0.004111930624953228
60,40,4,5,0.003987791924071993
50,16,4,6,0.0037642221179836842
60,24,4,7,0.003061474717433064
60,12,4,8,0.003051037623925001
45,4,4,9,0.014757958395909525
45,92,5,0,0.0019635655589860857
45,52,5,1,0.0038243464557181452
85,12,5,2,0.003256049199762677
35,88,5,3,0.004042725098505318
60,88,5,4,0.002869276797182341
5,12,5,5,0.003436025715303988
45,24,5,6,0.00371222801972709
40,24,5,7,0.003021524627378009
45,36,5,8,0.003434473982794335
60,16,5,9,0.003162438641859449
45,92,6,0,0.0019635655589860857
75,92,6,1,0.002320364293453133
95,12,6,2,0.003414162457131148
55,36,6,3,0.00232078641754108
35,52,6,4,0.004324341368990953
95,92,6,5,0.0023577605319076013
95,88,6,6,0.002716239127456855
45,72,6,7,0.0034066823787145613
85,88,6,8,0.0029667533782593448
40,36,6,9,0.0035281325469451188
45,92,7,0,0.0019635655589860857
30,44,7,1,0.003377516621380486
75,12,7,2,0.003433179373105824
85,36,7,3,0.0033305781445787884
5,36,7,4,0.003343668680430529
95,52,7,5,0.004323591796865457
75,52,7,6,0.004525261417953867
45,32,7,7,0.0027725289104957983
55,80,7,8,0.003492590125429041
85,8,7,9,0.0024145148705954724
45,92,8,0,0.0019635655589860857
25,8,8,1,0.0025493469318358325
60,96,8,2,0.0024812099327977976
90,92,8,3,0.0025470279941015974
40,52,8,4,0.0033379552193915085
85,4,8,5,0.014006311209603255
35,8,8,6,0.004556459956561222
5,92,8,7,0.002309556548289862
15,12,8,8,0.0029374550857402893
15,36,8,9,0.0031429835664478767
45,92,9,0,0.0019635655589860857
55,92,9,1,0.002108363880202165
75,28,9,2,0.0032650283261267594
5,96,9,3,0.001974336284176592
10,88,9,4,0.0024385333057059745
20,96,9,5,0.0025742614876441547
65,8,9,6,0.003055786612043888
35,68,9,7,0.003112448435805511
5,4,9,8,0.015855070100878832
60,72,9,9,0.0034283913681592663
